City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
246,rodrigues alves,0,BR,1525143600,94,-7.74,-72.65,73.4,3.36
247,hofn,64,IS,1525145770,100,64.25,-15.21,39.06,7.63
248,kaga,75,JP,1525143600,46,36.3,136.31,71.6,12.75
249,tessalit,0,ML,1525145830,27,20.2,1.01,65.16,5.17
250,coquimbo,0,CL,1525143600,87,-29.95,-71.34,53.6,3.36
251,rio grande city,90,US,1525144500,74,26.38,-98.82,78.8,13.87
252,mahon,40,IE,1525143600,93,51.89,-8.4,42.8,5.82
253,shimanovsk,8,RU,1525146213,24,52.0,127.67,53.37,5.95
254,nanning,75,CN,1525143600,69,22.83,108.3,82.4,4.47
255,valente,76,BR,1525146213,95,-11.41,-39.46,70.92,7.4
256,cam ranh,0,VN,1525146213,82,11.92,109.15,85.05,2.93
257,matagami,8,NG,1525146214,95,9.67,8.4,66.69,3.49
258,ekpoma,56,NG,1525146214,94,6.74,6.14,76.59,6.73
259,alcudia,40,ES,1525144440,93,39.85,3.12,51.8,5.82
260,hasaki,75,JP,1525143600,42,35.73,140.83,80.6,4.7
261,ishinomaki,0,JP,1525143600,43,38.42,141.3,71.6,11.41
262,uttaradit,75,TH,1525143600,79,17.63,100.1,91.4,2.24
263,bilma,0,NE,1525145979,25,18.69,12.92,71.46,2.71
264,matay,0,EG,1525146216,47,28.42,30.79,65.25,5.39
265,along,100,IN,1525145794,97,28.17,94.8,60.03,1.59
266,kumluca,0,TR,1525146217,76,36.37,30.29,46.8,1.92
267,atyrau,0,KZ,1525143600,67,47.1,51.92,57.2,8.95
268,vila velha,75,BR,1525143600,100,-3.71,-38.6,77.0,8.05
269,san quintin,20,PH,1525143600,70,17.54,120.52,89.6,6.93
270,ilulissat,48,GL,1525143000,61,69.22,-51.1,15.8,2.24
271,sheoganj,0,IN,1525146218,28,25.14,73.07,90.0,11.1
272,san carlos de bariloche,90,AR,1525143600,93,-41.13,-71.31,46.4,4.7
273,pradera,75,CO,1525143600,83,3.42,-76.24,73.4,11.41
274,pacific grove,75,US,1525143300,66,36.62,-121.92,53.6,11.41
275,ingham,88,AU,1525146219,98,-18.65,146.16,75.51,13.78
276,antalaha,80,MG,1525145953,97,-14.9,50.28,73.44,13.78
277,ancud,92,CL,1525145784,97,-41.87,-73.83,48.06,3.6
278,nemuro,75,JP,1525143600,62,43.32,145.57,57.2,9.17
279,bubaque,0,GW,1525145740,100,11.28,-15.83,77.76,12.44
280,port blair,80,IN,1525145725,99,11.67,92.75,86.58,9.75
281,vaitape,8,PF,1525146221,98,-16.52,-151.75,83.25,11.99
282,honiara,75,SB,1525143600,66,-9.43,159.96,87.8,5.82
283,moerai,12,PF,1525146222,100,-22.43,-151.33,77.49,5.95
284,shimoda,75,JP,1525143600,60,34.7,138.93,75.2,8.05
285,iracoubo,92,GF,1525146222,90,5.48,-53.21,76.95,4.38
286,mount gambier,12,AU,1525146223,68,-37.83,140.78,64.53,6.06
287,jambi,44,ID,1525146223,91,-1.6,103.62,82.98,4.05
288,nogliki,68,RU,1525146223,95,51.8,143.14,32.4,3.94
289,kualakapuas,80,ID,1525146224,69,-3.01,114.39,87.75,4.16
290,kisaran,80,ID,1525146224,99,2.98,99.62,79.56,3.49
291,betsiamites,90,CA,1525143600,93,48.94,-68.65,39.2,3.36
292,gorom-gorom,8,BF,1525146225,41,14.45,-0.24,76.86,4.94
293,tuatapere,92,NZ,1525145649,100,-46.13,167.69,51.75,17.58
294,lucapa,44,AO,1525145733,84,-8.42,20.74,63.36,2.71
295,sotouboua,12,TG,1525146226,82,8.56,0.98,75.24,5.95
296,urucara,64,BR,1525146226,94,-2.54,-57.76,76.32,1.14
297,naze,75,NG,1525140000,88,5.43,7.07,78.8,5.73
298,portobelo,20,PA,1525143600,83,9.55,-79.65,80.6,6.93
